Date,Status,Users,UUIDs,Link,Ticket Number,Legundo Mentioned
"Aug 4, 2020 9:35 PM",Withdrawn,"['BobTheSnob_#8659', 'Bush#5430', 'Dominion Tickets#4843']","['526622660327768067', '257582185932914688', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/740330291041665024/transcript-pending-0046.html,0046,False
"Aug 4, 2020 8:58 PM",Withdrawn,"['The Mayor#9749', 'ClaysLostTime#2842', 'Dominion Tickets#4843']","['521935100892545024', '162392061864181761', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/740330298692337734/transcript-pending-0045.html,0045,False
"Aug 4, 2020 10:29 PM",Withdrawn,['Dominion Tickets#4843'],['557628352828014614'],https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/740335754353311836/transcript-open-0048.html,0048,False
"Aug 4, 2020 9:54 PM",Withdrawn,"['ClaysLostTime#2842', 'Zirker#1611', 'Dominion Tickets#4843']","['162392061864181761', '131164629790359552', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/740359611332427906/transcript-pending-0047.html,0047,False
"Aug 5, 2020 12:37 AM",Withdrawn,['Dominion Tickets#4843'],['557628352828014614'],https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/740367796587855882/transcript-pending-0049.html,0049,False
"Aug 5, 2020 1:05 AM",Withdrawn,"['Zephyr CXLV#6691', 'ItsWilven#0001', 'kmskaine#3401', 'Dominion Tickets#4843']","['143323590970966016', '311877089739407361', '491733131376721931', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/740392714348134440/transcript-pending-0050.html,0050,False
"Aug 5, 2020 1:13 AM",Withdrawn,"['MrLaMoon#0216', 'ClaysLostTime#2842', 'Dominion Tickets#4843']","['269646397630840832', '162392061864181761', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/740392754638487623/transcript-pending-0051.html,0051,False
"Aug 5, 2020 9:44 AM",Withdrawn,['Dominion Tickets#4843'],['557628352828014614'],https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/740505506980036698/transcript-open-0055.html,0055,False
"Aug 5, 2020 10:30 AM",Withdrawn,"['ItsWilven#0001', 'Dominion Tickets#4843']","['143323590970966016', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/740518629371674704/transcript-pending-0056.html,0056,False
"Aug 5, 2020 9:06 AM",Withdrawn,"['Rexigais#8361', 'Dominion Tickets#4843', 'BobTheSnob_#8659', 'Lord_Bones#1337', 'kevcai#8037']","['466933907485491222', '247064236528893953', '557628352828014614', '165160335903424512', '257582185932914688']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/740554317110575137/transcript-pending-0054.html,0054,False
"Aug 5, 2020 4:29 AM",Withdrawn,"['Oliveira#9535', 'kevcai#8037', 'Dominion Tickets#4843']","['466933907485491222', '668317660844523599', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/740743954269601913/transcript-claimed-0053.html,0053,False
"Aug 5, 2020 11:43 PM",Withdrawn,"['ClaysLostTime#2842', 'jesss#4420', 'Dominion Tickets#4843']","['185955331942121472', '162392061864181761', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/740746280359428156/transcript-pending-0058.html,0058,False
"Aug 5, 2020 9:47 PM",Withdrawn,"['tolemo#6684', 'ClaysLostTime#2842', 'Dominion Tickets#4843']","['162392061864181761', '508782481579835412', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/740988173739360296/transcript-claimed-0057.html,0057,False
"Aug 6, 2020 10:13 AM",Withdrawn,"['sobaan#6461', 'BobTheSnob_#8659', 'Dominion Tickets#4843']","['257582185932914688', '319988360737456142', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/741024394725425263/transcript-claimed-0059.html,0059,False
"Aug 5, 2020 2:51 AM",Withdrawn,"['kevcai#8037', 'figuresof8#1412', 'Dominion Tickets#4843']","['570086852242178048', '466933907485491222', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/741150952660140053/transcript-claimed-0052.html,0052,False
"Aug 7, 2020 1:04 PM",Withdrawn,"['Kohuda#6818', 'BobTheSnob_#8659', 'Dominion Tickets#4843']","['257582185932914688', '99901766987939840', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/741314714407010314/transcript-pending-0060.html,0060,False
"Aug 7, 2020 1:27 PM",Withdrawn,"['Createx#8074', 'BobTheSnob_#8659', 'Dominion Tickets#4843']","['257582185932914688', '221212725521416192', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/741314734631944252/transcript-pending-0061.html,0061,False
"Aug 8, 2020 3:53 AM",Withdrawn,"['Xcerty#1132', 'DakodaSky#8749', 'Dominion Tickets#4843']","['292773341843161090', '383372912054370309', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/741619173636964423/transcript-pending-0062.html,0062,False
"Aug 8, 2020 1:48 PM",Withdrawn,"['BobTheSnob_#8659', 'RozeKing#1050', 'Dominion Tickets#4843']","['257582185932914688', '719489309337714729', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/741720353533067324/transcript-pending-0063.html,0063,False
"Aug 8, 2020 11:04 PM",Withdrawn,"['mrjrlye#7741', 'Xcerty#1132', 'Dominion Tickets#4843']","['383372912054370309', '683682782228250760', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/741837696435224657/transcript-pending-0064.html,0064,False
"Aug 9, 2020 9:46 AM",Withdrawn,"['hockey is straight shut up guys#3441', 'kmskaine#3401', 'Dominion Tickets#4843']","['410593801518710794', '311877089739407361', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/741959575896588308/transcript-pending-0067.html,0067,False
"Aug 9, 2020 10:06 AM",Withdrawn,['Dominion Tickets#4843'],['557628352828014614'],https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/741963684049321984/transcript-open-0069.html,0069,False
"Aug 9, 2020 9:45 AM",Accepted,"['Lord_Bones#1337', 'Max#7781', 'kmskaine#3401', 'Dominion Tickets#4843']","['269884595913228289', '165160335903424512', '311877089739407361', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/742074103405609100/transcript-pending-0066.html,0066,False
"Aug 9, 2020 7:54 AM",Withdrawn,['Dominion Tickets#4843'],['557628352828014614'],https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/742074157650542622/transcript-pending-0065.html,0065,False
"Aug 9, 2020 7:15 PM",Withdrawn,"['ydarbxela#0375', 'Dominion Tickets#4843', 'BobTheSnob_#8659', 'Lord_Bones#1337', 'ClaysLostTime#2842']","['533843381407973397', '557628352828014614', '165160335903424512', '257582185932914688', '162392061864181761']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/742226576057434193/transcript-pending-0070.html,0070,False
